"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"МД-00012007","V3-22-1","Вентиль V3-22-1 (на бескамерный диск колеса) (короткий 58MS)","шт","143","","0.004","0","0"
"МД-00001094","351-3114010","Вентиль АК-95 (на бескамерный диск колеса) (АБ-95)","шт","160","","0.04","0","0"
"МД-00021898","7506901066 / 7506901051","Вентиль баллонный 7506901051 (замена на 7506901066) ","шт","7700","","1","0","0"
"МД-00021893","MARK121-002","Вентиль баллонный ЭМЕР MARK121 24V M14*1 D8 / Италгаз","шт","8025","","1","0","0"
"МД-00021899","VALC 451","Вентиль заправочный EMER VALC451 M14*1 / Италгаз","шт","3481","","0.001","0","0"
"МД-00015765","2418559037","Вентиль постоянного давления / БОШ","шт","3080","","0.039","0","0"
"МД-00006404","-","Вентилятор 24V (металлическая решетка)","шт","763","","0.65","0","0"
"МД-00018434","5490  LF0790","Вентилятор отопителя 045.3730 12V/90W / г.Старый Оскол","шт","784","","0.86","0","0"
"МД-00014970","2798","Вентилятор отопителя SPAL VA 14BP10/CS 24V","шт","3300","","1.1","0","0"
"МД-00016210","5490  LF0790","Вентилятор отопителя на 5490 / LUZAR","шт","4063","","2.3","0","0"
"МД-00003770","-","Ветровик форточки  старого образца","к-т","163","","0.27","0","0"
"МД-00020747","20859","Ветровик форточки 5490 под бордюрное зеркало / Белый","к-т","1068","","3","0","0"
"МД-00003769","-","Ветровик форточки Евро","к-т","800","","0.45","0","0"
"МД-00016960","-","Ветровик форточки на 5490 (угловой)","к-т","810","","0.876","0","0"
"МД-00034531","4899239 / 5271613","Виброизолятор на клапанную крышку ISBe","шт","42","","0.001","0","0"
"МД-00020626","3959799","Виброизолятор на клапанную крышку ISLe,L, (S)","шт","75","","0.001","0","0"
"МД-00017754","СЦ 601.607","Вилка 7-ми контактная круглая на пучок проводов d30","шт","470","","0.043","0","0"
"МД-00020397","1315 206 076","Вилка 95534593 (на КПП ZF)","шт","9520","","3.6","0","0"
"МД-00006405","4310-1802149","Вилка блокировки дифференциала 4310 раздаточной коробки ","шт","820","","0.52","0","0"
"МД-00005663","4310-1802149","Вилка блокировки дифференциала 4310 раздаточной коробки / ОАО КамАЗ","шт","1139.5","","0.649","0","0"
"МД-00005662","65111-1802149","Вилка блокировки дифференциала 65111 раздаточной коробки ","шт","1575","","0.595","0","0"
"МД-00004656","65111-1802149","Вилка блокировки дифференциала 65111 раздаточной коробки / ОАО КамАЗ","шт","2970","","0.63","0","0"
"МД-00022802","HD469-2511011","Вилка блокировки межосевого дифференциала / Shaanxi Hande Axle Co., Ltd ","шт","1326","","0.83","0","0"
"МД-00022791","DZ90149320041","Вилка блокировки межосевого дифференциала DZ90149320041 / Shaanxi Hande Axle Co., Ltd","шт","896","","0.575","0","0"
"МД-00000593","55102-2409016","Вилка блокировки МКД в сборе / ОАО КамАЗ","шт","2500","","1.11","0","0"
"МД-00005664","5320-2509049","Вилка блокировки МОД / г. Ижевск","шт","650","","0.747","0","0"
"МД-00006254","5320-2509049","Вилка блокировки МОД / ОАО КамАЗ","шт","1055","","0.8","0","0"
"МД-00011626","4310-2806116","Вилка буксирная / ОАО КамАЗ","шт","5100","","11","0","0"
"МД-00019142","6560-2806040","Вилка буксирная 6560 / ОАО КамАЗ","шт","5500","","9","0","0"
"МД-00006406","6520-2806047","Вилка буксирная задняя (6520) / завод","шт","2800","","8.74","0","0"
"МД-00004308","53205-2806115","Вилка буксирная левая / ОАО КамАЗ","шт","2461","","4.16","0","0"
"МД-00004309","53205-2806114","Вилка буксирная правая / ОАО КамАЗ","шт","2651.5","","4.16","0","0"
"МД-00012660","5490-2806077","Вилка буксирная съемная (на 5490) / ОАО КамАЗ","шт","3144","","4.42","0","0"
"МД-00005665","4310-4204126","Вилка включения КОМ (на лебедку) / ОАО КамАЗ","шт","1617","","0.67","0","0"
"МД-00018701","К16-1601203","Вилка включения сцепления (стальная) / КМД","шт","577.5","","0.765","0","0"
"МД-00005460","16-1601203","Вилка включения сцепления / г.Ижевск","шт","520","","0.9","0","0"
"МД-00004313","16-1601203","Вилка включения сцепления / ОАО КамАЗ","шт","1877.5","","0.85","0","0"
"МД-00023071","6060468043/ 6060268030 /3189600045","Вилка включения сцепления КПП / ZF","шт","6853","","2.3","0","0"
"МД-00006407","19-1601203-10","Вилка включения сцепления КПП-154 / ОАО КамАЗ","шт","2726","","0.855","0","0"
"МД-00022967","19-1601203-10","Вилка включения сцепления КПП-154 / ОАО КамАЗ / с разбора","шт","1900","","0.4","0","0"
"МД-00014667","6060 206 006","Вилка включения сцепления на КПП ZF  9S","шт","2890","","1.78","0","0"
"МД-00014561","1315 268 017 / 1315 468 017","Вилка включения сцепления на КПП ZF 16S","шт","1600","","2.168","0","0"
"МД-00006408","14-1702024","Вилка переключения 1-ой передачи и заднего хода / ОАО КамАЗ","шт","1240","","1.17","0","0"
"МД-00022968","14-1702024","Вилка переключения 1-ой передачи и заднего хода / ОАО КамАЗ / с разбора","шт","950","","0.4","0","0"
"МД-00005531","4310-1803020","Вилка переключения раздаточной коробки 4310 / ОАО КамАЗ","шт","1915.5","","0.8","0","0"
"МД-00022624","4310-1803020","Вилка переключения раздаточной коробки 4310 / ОАО КамАЗ / с разбора","шт","1320","","0.3","0","0"
"МД-00006410","15-1771094","Вилка переключения синхронизатора  делителя","шт","910","","1.275","0","0"
"МД-00009375","15-1771094","Вилка переключения синхронизатора  делителя / ОАО КамАЗ","шт","1409","","1.4","0","0"
"МД-00006412","14-1702027","Вилка переключения синхронизатора 2/3 передачи / ОАО КамАЗ","шт","1600.5","","1.47","0","0"
"МД-00022969","14-1702027","Вилка переключения синхронизатора 2/3 передачи / ОАО КамАЗ / с разбора","шт","1300","","0.4","0","0"
"МД-00006413","14-1702033","Вилка переключения синхронизатора 4/5 передачи / ОАО КамАЗ","шт","2328","","1.74","0","0"
"МД-00022970","14-1702033","Вилка переключения синхронизатора 4/5 передачи / ОАО КамАЗ / с разбора","шт","1750","","0.4","0","0"
"МД-00011041","125В-7638","Вилка провода АБС  7  pin 24V / КонтурАвтоЖгут","шт","1500","","0.001","0","0"
"МД-00011042","125В-12098","Вилка провода АБС 15 pin 24V / КонтурАвтоЖгут","шт","1500","","0.001","0","0"
"МД-00013948","ПС-325","Вилка ПС-325 ","шт","275","","0.086","0","0"
"МД-00021002","ПС-325","Вилка ПС-325 / Турция","шт","345","","0.15","0","0"
"МД-00013949","ПС-326","Вилка ПС-326","шт","275","","0.09","0","0"
"МД-00021001","ПС-326","Вилка ПС-326 / Турция","шт","382","","0.15","0","0"
"МД-00017403","7026.410.507","Вилка рулевого карданного вала (верхняя) в сборе (шарнир) на 5490","шт","7200","","0.68","0","0"
"МД-00017402","7026.410.505","Вилка рулевого карданного вала (нижняя) в сборе (шарнир) на 5490","шт","7200","","0.75","0","0"
"МД-00005666","4310-3422027","Вилка рулевого карданного вала 4310 (со шлицами) / ОАО КамАЗ","шт","594.5","","0.313","0","0"
"МД-00006220","5297-3422027","Вилка рулевого карданного вала 5297 / ОАО КамАЗ","шт","969","","0.32","0","0"
"МД-00011651","863400","Вилка тяги газа (завод)","шт","121","","0.041","0","0"
"МД-00002026","5320-2201023","Вилка фланец м/о (заднего) карданного вала / Москва","шт","1060","","1.5","0","0"
"МД-00016825","53205-2201023-30","Вилка фланец м/о (заднего) карданного вала Евро / БЕЛКАРД","шт","8010","","4.12","0","0"
"МД-00002027","5320-2205023","Вилка фланец основного (среднего) карданного вала","шт","1355","","2.5","0","0"
"МД-00009271","53205-2205023-20","Вилка фланец основного (среднего) карданного вала 53205 / ОАО КамАЗ","шт","4041","","5.1","0","0"
"МД-00017760","84-2205023","Вилка фланец основного (среднего) карданного вала 6520 / БЕЛКАРД","шт","9115","","6","0","0"
"МД-00021266","6520-2205023","Вилка фланец основного (среднего) карданного вала 6520 / г. Москва","шт","2000","","0.001","0","0"
"МД-00018652","5320-2205023-10","Вилка фланец основного (среднего) карданного вала под стопор / БЕЛКАРД","шт","4321","","1.3","0","0"
"МД-00004754","100-3519238","Вилка энергоаккумулятора","шт","58","","0.1","0","0"
"МД-00000689","100-3519238","Вилка энергоаккумулятора 5320 в сборе","шт","90","","0.1","0","0"
"МД-00000688","25-3519238","Вилка энергоаккумулятора 6520 в сборе","шт","23.9","","0.15","0","0"
"МД-00011711","1/33127/01","Винт   М6 х 10 (полупотай) / г. Белебей","шт","1.6","","0.003","0","0"
"МД-00016627","3021В091","Винт   М6 х 16 (БДС 1363-82) / МАДАРА","шт","48","","0.002","0","0"
"МД-00014826","1/33013/01","Винт   М6 х 16 (потай) голый / г. Белебей","шт","2.1","","0.002","0","0"
"МД-00017373","1/33130/01","Винт   М6 х 16 голый / г. Белебей","шт","1.9","","0.004","0","0"
"МД-00003463","1/32792/11","Винт   М8 х 16  / г. Белебей","шт","4.5","","0.012","0","0"
"МД-00003464","1/32802/01","Винт   М8 х 50 ( на обтекатель нов/обр ) / г. Белебей","шт","7.45","","0.022","0","0"
"МД-00021044","Q2541020","Винт  М10 х 20 (тормозного барабана) Q2541020 / Shaanxi Hande Axle Co., Ltd","шт","17","","0.001","0","0"
"МД-00006419","853350","Винт  М10 х 25 (для сборки Мода) ЧЕРНЫЙ / г. Белебей","шт","7.3","","0.016","0","0"
"МД-00002342","853352","Винт  М10 х 25 крепления тормозного барабана на 4310 / г. Белебей","шт","7","","0.015","0","0"
"МД-00005667","740-1007148","Винт регулировочный коромысла (голый) / ОАО КамАЗ","шт","65","","0.02","0","0"
"МД-00022373","А5410550620","Винт регулировочный коромысла клапана на 5490 /  МВ Actros / Axor / DT","шт","389","","0.001","0","0"
"МД-00022793","Q2541025","Винт с потайной головкой (тормозного барабана) Q2541025 / Shaanxi Hande Axle Co., Ltd","шт","13.2","","0.015","0","0"
"МД-00020989","Q218B1040TF2","Винт с шестигранной головкой / Shaanxi Hande Axle Co., Ltd					","шт","25","","0.15","0","0"
"МД-00006420","14-1702025","Винт установочный вилок переключения передач / ОАО КамАЗ","шт","24","","0.018","0","0"
"МД-00003465","740.30-1317008-009","Винт электромагнитной муфты ( 10 х 1,25 х 25) / г. Белебей","шт","19.1","","0.024","0","0"
"МД-00006421","100-3519282","Винт энергоаккумулятора","шт","64","","0.265","0","0"
"МД-00003934","45104-1005044-90","Вкладыш  коренной верхний 352.02 - 1005170 (39441 - 01) Cоmmon Rail / ДЗВ","шт","170","","0.073","0","0"
"МД-00003936","45104-1005047-90","Вкладыш  шатунный верхний 325.02 - 1004058 (39440 - 01) Cоmmon Rail / ДЗВ","шт","550","","0.07","0","0"
"МД-00001528","5320-2902545","Вкладыш ( на сухарь 520 )","шт","43","","0.29","0","0"
"МД-00034302","5320-2902545-10","Вкладыш ( на сухарь 520 ) Евро ","шт","110","","0.215","0","0"
"МД-00010927","5320-2902545-10","Вкладыш ( на сухарь 520 ) Евро / ОАО КамАЗ","шт","324.5","","0.237","0","0"
"МД-00012610","15-8603553-10","Вкладыш гидроцилиндра опрокид-его механизма","шт","155","","0.32","0","0"
"МД-00006423","3978818 / 3901091 / 3929017 / 4938933","Вкладыш коренной верхний (ремонтный 0,25) 4ISBе, 6ISBe, 4BT, 6BT, EQB","шт","130","","0.06","0","0"
"МД-00015528","3929018 / 3901092 / 4938934","Вкладыш коренной верхний (ремонтный 0,50) 4ISBе, 6ISBe, 4BT, 6BT, ISDe, ISF3.8, EQB","шт","132","","0.07","0","0"
"МД-00013016","3929016/3929019","Вкладыш коренной верхний (ремонтный 0,75) 4ISBе, 6ISBe, 4BT, 6BT, EQB","шт","135.6","","0.075","0","0"
"МД-00004986","3978818 / 3802070 / 3929016 / 3901090","Вкладыш коренной верхний (стандартный) 4ISBе, 6ISBe, 4BT, 6BT, EQB","шт","105","","0.065","0","0"
"МД-00017712","3978818 / 3802070 / 3929016 / 3901090","Вкладыш коренной верхний (стандартный) 4ISBе, 6ISBe, 4BT, 6BT, EQB / DCEC","шт","150","","0.073","0","0"
"МД-00013425","3944158 / 3916840 / 3901630 / D02A-110-40","Вкладыш коренной верхний (стандартный) 6СТ, ISC, QSC, L, ISL, QSL","шт","210","","0.121","0","0"
"МД-00014476","4996250","Вкладыш коренной верхний (стандартный) ISF2.8","шт","170","","0.072","0","0"
"МД-00014477","4948504","Вкладыш коренной верхний (стандартный) ISF3.8","шт","79.5","","0.072","0","0"
"МД-00006424","3978820 / 3901151 / 3929022 / 4938937","Вкладыш коренной нижний (ремонтный 0,25) 4ISBе, 6ISBe, 4BT, 6BT, EQB","шт","135","","0.06","0","0"
"МД-00015527","3929023 / 3901152 / 4938938/3978820","Вкладыш коренной нижний (ремонтный 0,50) 4ISBе, 6ISBe, 4BT, 6BT, ISDe, ISF3.8, EQB","шт","121.2","","0.491","0","0"
"МД-00013017","3929021 / 3929024","Вкладыш коренной нижний (ремонтный 0,75) 4ISBе, 6ISBe, 4BT, 6BT, EQB","шт","138","","0.07","0","0"
"МД-00004987","3978820 / 3929021 / 3901150","Вкладыш коренной нижний (стандартный) 4ISBе, 6ISBe, 4BT, 6BT, EQB","шт","126","","0.065","0","0"
"МД-00017713","3978820 / 3929021 / 3901150","Вкладыш коренной нижний (стандартный) 4ISBе, 6ISBe, 4BT, 6BT, EQB / DCEC","шт","160","","0.05","0","0"
"МД-00013426","3944153 / 3901590 / D02A-112-40","Вкладыш коренной нижний (стандартный) 6СТ, ISC, QSC, L, ISL, QSL","шт","219.6","","0.121","0","0"
"МД-00014478","4946030","Вкладыш коренной нижний (стандартный) ISF2.8","шт","166","","0.045","0","0"
"МД-00014479","4948505","Вкладыш коренной нижний (стандартный) ISF3.8","к-т","78","","0.06","0","0"
"МД-00009073","3978822 /4938949 / 3283065 / 3927773 / 3925922","Вкладыш коренной упорный верхний (ремонтный 0,25) ISBe, ISDe, QSB, 4BT, 6BT, ISF3.8","шт","675.6","","0.001","0","0"
"МД-00015529","3283066 / 4938950 / 3978822","Вкладыш коренной упорный верхний (ремонтный 0,50) ISBe, ISDe, QSB, 4BT, 6BT, ISF3.8","шт","700.8","","0.17","0","0"
"МД-00017714","3978822 / 3927772","Вкладыш коренной упорный верхний (стандартный) 4BT, 6BT, ISBe, ISDe / DCEC","шт","905","","0.14","0","0"
"МД-00013459","3944163 / 3926798 / 3928914 / 3916830 / 3901400","Вкладыш коренной упорный верхний (стандартный) 6СТ, ISC, QSC, L, ISL, QSL","шт","678","","0.26","0","0"
"МД-00004990","3978822 / 3927772 / 3925921 / 3906230 / 3901140","Вкладыш коренной упорный верхний (стандартный) ISBe, ISDe, QSB, 4BT, 6BT, ISF3.8","шт","559.2","","0.14","0","0"
"МД-00014480","4946031","Вкладыш коренной упорный верхний (стандартный) ISF2.8","шт","446","","0.12","0","0"
"МД-00014482","4948506","Вкладыш коренной упорный верхний (стандартный) ISF3.8","шт","396","","0.136","0","0"
"МД-00009074","3978824 / 3945664 / 4938942","Вкладыш коренной упорный нижний (ремонтный 0,25) ISBe, ISDe, QSB, 4BT, 6BT, ISF3.8","шт","686.4","","0.14","0","0"
"МД-00015530","3945665 / 4938943 / 3978824","Вкладыш коренной упорный нижний (ремонтный 0,50) ISBe, ISDe, QSB, 4BT, 6BT, ISF3.8","шт","604.8","","0.001","0","0"
"МД-00004991","3945528 / 3978824","Вкладыш коренной упорный нижний (стандартный) ISBe, ISDe, QSB, 4BT, 6BT, ISF3.8","шт","504","","0.147","0","0"
"МД-00017720","3945528 / 3978824","Вкладыш коренной упорный нижний (стандартный) ISBe, ISDe, QSB, 4BT, 6BT, ISF3.8 / DCEC","шт","872","","0.1","0","0"
"МД-00022254","9746-2922102-90","Вкладыш кронштейна рессоры (4х120х120) ТОНАР ","шт","180","","0.4","0","0"
"МД-00009451","4310-2304066","Вкладыш на ШРУС ( штука ) ","шт","1650","","1.9","0","0"
"МД-00004012","4310-2304066","Вкладыш на ШРУС ( штука ) / ОАО КамАЗ","шт","1792.88","","1.9","0","0"
"МД-00019512","4310-2304066","Вкладыш на ШРУС ( штука ) / ОАО КамАЗ новый с консервации,с разбора","шт","1700","","1.9","0","0"
"МД-00010960","5511-2919034","Вкладыш реактивного пальца (толстый) / ОАО КамАЗ","шт","273.14","","0.001","0","0"
"МД-00004865","5511-2919034","Вкладыш реактивного пальца (толстый) порошковый","шт","130","","0.42","0","0"
"МД-00006426","5511-2919040","Вкладыш реактивного пальца (тонкий) НАРУЖНЫЙ","шт","33","","0.06","0","0"
"МД-00019400","99858-2918024","Вкладыш рессоры голый М16х1,5/ ЧМЗАП","шт","540","","0.001","0","0"
"МД-00018938","99858-2918024","Вкладыш рессоры голый М16х2/ ЧМЗАП","шт","540","","1.75","0","0"
"МД-00020188","941-2916050","Вкладыш стабилизатора п/прицепа 941 (половинка)","шт","102","","0.001","0","0"
"МД-00020146","8543-2912545","Вкладыш сухаря рессоры прицепа СЗАП","шт","80","","0.167","0","0"
"МД-00006430","4932375 / 3901171 / 3901231/ 3939860","Вкладыш шатунный верхний (ремонтный 0,25) ISBe, ISDe, 4BT, 6BT, EQB, QSB","шт","151.2","","0.04","0","0"
"МД-00015531","4932376 / 3901172 / 3901232 / 3939859 / 3939861","Вкладыш шатунный верхний (ремонтный 0,50) ISBe, ISDe, 4BT, 6BT, ISF3.8, EQB, QSB","шт","130.8","","0.06","0","0"
"МД-00013427","3950661 / 3901430 / 3966239 / 3901460","Вкладыш шатунный верхний (стандартный) 6СТ, ISC, QSC, L, ISL, QSL","шт","208.8","","0.1","0","0"
"МД-00004997","3969562 / 3939859 / 3901170","Вкладыш шатунный верхний (стандартный) ISBe, ISDe, 4BT, 6BT, EQB, QSB","шт","110","","0.054","0","0"
"МД-00017715","3969562 / 3939859 / 3901170","Вкладыш шатунный верхний (стандартный) ISBe, ISDe, 4BT, 6BT, EQB, QSB / DCEC","шт","195","","0.06","0","0"
"МД-00014484","5340181 / 5348887","Вкладыш шатунный верхний (стандартный) ISF2.8 нового образца","шт","534","","0.03","0","0"
"МД-00014485","4948508","Вкладыш шатунный верхний (стандартный) ISF3.8","шт","170","","0.048","0","0"
"МД-00006431","4892795 / 4893693","Вкладыш шатунный нижний (ремонтный 0,25) ISBe, ISDe, 4BT, 6BT, EQB, QSB","шт","151.2","","0.04","0","0"
"МД-00015532","4892796 / 4893693","Вкладыш шатунный нижний (ремонтный 0,50) ISBe, ISDe, 4BT, 6BT, ISF3.8, EQB, QSB","шт","136.8","","0.073","0","0"
"МД-00013429","3966244","Вкладыш шатунный нижний (стандартный) 6СТ, ISC, QSC, L, ISL, QSL ","шт","483.6","","0.1","0","0"
"МД-00004998","4893693 / 4892795","Вкладыш шатунный нижний (стандартный) ISBe, ISDe, 4BT, 6BT, EQB, QSB","шт","134.4","","0.054","0","0"
"МД-00017716","4893693 / 4892795","Вкладыш шатунный нижний (стандартный) ISBe, ISDe, 4BT, 6BT, EQB, QSB / DCEC","шт","159.6","","0.05","0","0"
"МД-00014488","5340182","Вкладыш шатунный нижний (стандартный) ISF2.8 нового образца","к-т","179","","0.026","0","0"
"МД-00014486","4948509","Вкладыш шатунный нижний (стандартный) ISF3.8","шт","233","","0.048","0","0"
"МД-00006432","53205-3509092","Вкладыши 1-но цилиндрового компрессора  (к-т 2 шт)","к-т","158.4","","0.06","0","0"
"МД-00005673","5320-3509092","Вкладыши 2-ух цилиндрового компрессора Р0 (к-т 4 шт)","к-т","138","","0.054","0","0"
"МД-00006433","5320-3509092","Вкладыши 2-ух цилиндрового компрессора Р1 (к-т 4 шт)","к-т","132","","0.001","0","0"
"МД-00006434","5320-3509092","Вкладыши 2-ух цилиндрового компрессора Р2 (к-т 4 шт)","к-т","144","","0.075","0","0"
"МД-00012044","840-1000102 Р0","Вкладыши БЕЛАЗ-840 Р0 коренные / ДЗВ","к-т","3103","","3.14","0","0"
"МД-00012045","840-1000104 Р0","Вкладыши БЕЛАЗ-840 Р0 шатунные / ДЗВ","к-т","2918","","2.64","0","0"
"МД-00019454","7405.1000102","Вкладыши КАМАЗ (Евро-0,1,2) Р0 коренные (0,00) / Дайдо Металл Русь","к-т","1740","","0.82","0","0"
"МД-00019460","7405-1000104","Вкладыши КАМАЗ (Евро-0,1,2) Р0 шатунные (0,00) / Дайдо Металл Русь","к-т","2344","","1.15","0","0"
"МД-00019455","7405-1000102 Р01","Вкладыши КАМАЗ (Евро-0,1,2) Р01 коренные (0,25) / Дайдо Металл Русь","к-т","1740","","0.85","0","0"
"МД-00019461","7405-1000104 Р01","Вкладыши КАМАЗ (Евро-0,1,2) Р01 шатунные (0,25) / Дайдо Металл Русь","к-т","2344","","1.222","0","0"
"МД-00019457","7405-1000102 Р02","Вкладыши КАМАЗ (Евро-0,1,2) Р02 коренные (0,75) / Дайдо Металл Русь","к-т","1740","","0.001","0","0"
"МД-00019463","7405-1000104 Р02","Вкладыши КАМАЗ (Евро-0,1,2) Р02 шатунные (0,75) / Дайдо Металл Русь","к-т","2344","","0.001","0","0"
"МД-00019456","7405-1000102 Р1","Вкладыши КАМАЗ (Евро-0,1,2) Р1 коренные (0,50) / Дайдо Металл Русь","к-т","1740","","0.905","0","0"
"МД-00019462","7405-1000104 Р1","Вкладыши КАМАЗ (Евро-0,1,2) Р1 шатунные (0,50)  / Дайдо Металл Русь","к-т","2344","","1.25","0","0"
"МД-00019458","7405-1000102 Р2","Вкладыши КАМАЗ (Евро-0,1,2) Р2 коренные (1,00) / Дайдо Металл Русь","к-т","1740","","0.905","0","0"
"МД-00019464","7405-1000104 Р2","Вкладыши КАМАЗ (Евро-0,1,2) Р2 шатунные (1,00) / Дайдо Металл Русь","к-т","2344","","0.001","0","0"
"МД-00019459","7405-1000102 Р6","Вкладыши КАМАЗ (Евро-0,1,2) Р6 коренные (1,50) / Дайдо Металл Русь","к-т","1740","","1.05","0","0"
"МД-00019465","7405-1000104 Р6","Вкладыши КАМАЗ (Евро-0,1,2) Р6 шатунные (1,50) / Дайдо Металл Русь","к-т","2344","","1.5","0","0"
"МД-00019444","740.71-1000102","Вкладыши КАМАЗ (Евро-3,4,5) Р0 коренные (0,00) / Дайдо Металл Русь","к-т","4317","","0.82","0","0"
"МД-00019449","740.71-1000104","Вкладыши КАМАЗ (Евро-3,4,5) Р0 шатунные (0,00) / Дайдо Металл Русь","к-т","6917","","1.15","0","0"
"МД-00019445","740.71-1000102 Р01","Вкладыши КАМАЗ (Евро-3,4,5) Р01 коренные (0,25) / Дайдо Металл Русь","к-т","4317","","0.85","0","0"
"МД-00019450","740.71-1000104 Р01","Вкладыши КАМАЗ (Евро-3,4,5) Р01 шатунные (0,25) / Дайдо Металл Русь","к-т","6917","","1.25","0","0"
"МД-00019447","740.71-1000102 Р02","Вкладыши КАМАЗ (Евро-3,4,5) Р02 коренные (0,75)  / Дайдо Металл Русь","к-т","4317","","0.001","0","0"
"МД-00019452","740.71-1000104 Р02","Вкладыши КАМАЗ (Евро-3,4,5) Р02 шатунные (0,75) / Дайдо Металл Русь","к-т","6917","","0.001","0","0"
"МД-00019446","740.71-1000102 Р1","Вкладыши КАМАЗ (Евро-3,4,5) Р1 коренные (0,50) / Дайдо Металл Русь","к-т","4317","","0.9","0","0"
"МД-00019451","740.71-1000104 Р1","Вкладыши КАМАЗ (Евро-3,4,5) Р1 шатунные (0,50) / Дайдо Металл Русь","к-т","6917","","1.285","0","0"
"МД-00019448","740.71-1000102 Р2","Вкладыши КАМАЗ (Евро-3,4,5) Р2 коренные (1,00) / Дайдо Металл Русь","к-т","4317","","0.905","0","0"
"МД-00019453","740.71-1000104 Р2","Вкладыши КАМАЗ (Евро-3,4,5) Р2 шатунные (1,00) / Дайдо Металл Русь","к-т","6917","","0.001","0","0"
"МД-00000193","740.60 (7405)-1000102 Р0","Вкладыши КАМАЗ Р0 коренные / ДЗВ","к-т","2001","","0.823","0","0"
"МД-00010985","740.71-1000102","Вкладыши КАМАЗ Р0 коренные Cоmmon Rail / ДЗВ","к-т","4675","","0.827","0","0"
"МД-00000203","740.60 (7405)-1000104 Р0","Вкладыши КАМАЗ Р0 шатунные / ДЗВ","к-т","2699","","1.179","0","0"
"МД-00010986","740.71-1000104","Вкладыши КАМАЗ Р0 шатунные на Cоmmon Rail / ДЗВ","к-т","7483","","0.001","0","0"
"МД-00000189","740.60 (7405)-1000102 Р01","Вкладыши КАМАЗ Р01 коренные / ДЗВ","к-т","2028","","0.866","0","0"
"МД-00000205","740.60 (7405)-1000104 Р01","Вкладыши КАМАЗ Р01 шатунные / ДЗВ","к-т","2733","","1.223","0","0"
"МД-00000680","740.60 (7405)-1000102 Р02","Вкладыши КАМАЗ Р02 коренные / ДЗВ","к-т","2028","","0.866","0","0"
"МД-00022523","740.71-1000102Р02","Вкладыши КАМАЗ Р02 коренные Common Rail / PVD / ДЗВ","к-т","1916","","0.4","0","0"
"МД-00019305","740.71-1000102Р02","Вкладыши КАМАЗ Р02 коренные Common Rail / ДЗВ","к-т","4650","","1.05","0","0"
"МД-00000681","740.60 (7405)-1000104 Р02","Вкладыши КАМАЗ Р02 шатунные / ДЗВ","к-т","2660","","1.396","0","0"
"МД-00022522","740.71-1000104Р02","Вкладыши КАМАЗ Р02 шатунные Common Rail / PVD / ДЗВ","к-т","2582","","0.66","0","0"
"МД-00019307","740.71-1000104Р02","Вкладыши КАМАЗ Р02 шатунные Common Rail / ДЗВ","к-т","7500","","1","0","0"
"МД-00000192","740.60 (7405)-1000102 Р1","Вкладыши КАМАЗ Р1 коренные / ДЗВ","к-т","1945","","0.909","0","0"
"МД-00019306","740.71-1000102Р1","Вкладыши КАМАЗ Р1 коренные Common Rail / ДЗВ","к-т","4675","","0.001","0","0"
"МД-00000208","740.60 (7405)-1000104 Р1","Вкладыши КАМАЗ Р1 шатунные / ДЗВ","к-т","2666","","1.284","0","0"
"МД-00019308","740.71-1000104Р1","Вкладыши КАМАЗ Р1 шатунные Common Rail / ДЗВ","к-т","7483","","0.001","0","0"
"МД-00000190","740.60 (7405)-1000102 Р2","Вкладыши КАМАЗ Р2 коренные / ДЗВ","к-т","1971","","0.988","0","0"
"МД-00000204","740.60 (7405)-1000104 Р2","Вкладыши КАМАЗ Р2 шатунные / ДЗВ","к-т","2511","","1.396","0","0"
"МД-00000191","740.60 (7405)-1000102 Р3","Вкладыши КАМАЗ Р3 коренные / ДЗВ","к-т","2047","","0.912","0","0"
"МД-00000240","740.60 (7405)-1000104 Р3","Вкладыши КАМАЗ Р3 шатунные / ДЗВ","к-т","2350","","1.313","0","0"
"МД-00000194","740.60 (7405)-1000102 Р4","Вкладыши КАМАЗ Р4 коренные / ДЗВ","к-т","2047","","0.997","0","0"
"МД-00000207","740.60 (7405)-1000104 Р4","Вкладыши КАМАЗ Р4 шатунные / ДЗВ","к-т","2350","","1.422","0","0"
"МД-00000243","740.60 (7405)-1000102 Р5","Вкладыши КАМАЗ Р5 коренные / ДЗВ","к-т","1900","","1.087","0","0"
"МД-00000206","740.60 (7405)-1000104 Р5","Вкладыши КАМАЗ Р5 шатунные / ДЗВ","к-т","2350","","1.518","0","0"
"МД-00000196","740.60 (7405)-1000102 Р6","Вкладыши КАМАЗ Р6 коренные / ДЗВ","к-т","1970","","1.074","0","0"
"МД-00000195","740.60 (7405)-1000104 Р6","Вкладыши КАМАЗ Р6 шатунные / ДЗВ","к-т","2600","","1.514","0","0"
"МД-00000244","740.60 (7405)-1000102 Р7","Вкладыши КАМАЗ Р7 коренные / ДЗВ","к-т","1800","","1.162","0","0"
"МД-00000245","740.60 (7405)-1000104 Р7","Вкладыши КАМАЗ Р7 шатунные / ДЗВ","к-т","2400","","1.609","0","0"
"МД-00018396","4570300140 / 79341600","Вкладыши коренные (пара)  на 5490","к-т","2709.6","","0.35","0","0"
