"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"ДН011160","240-1014120","Кольцо 058-063-30 (силикон) упл.","шт","21","","0","0","0"
"ДН011542","2531112559","Кольцо 062-066-25 (силикон) упл. насоса гур","шт","18.5","","0","0","0"
"ДН14520","9833-73-063-070-36","Кольцо 064-070-36 упл.","шт","15","","0","0","0"
"ДН011161","064-072-46","Кольцо 064-072-46 (силикон) упл.","шт","27","","0","0","0"
"ДН011055","536-1115288","Кольцо 067-075-46 (силикон) упл.","шт","28.5","","0","0","0"
"ДН012844","078-084-36","Кольцо 078-084-36 (силикон) упл. 8.9594","шт","42","","0","0","0"
"ДН012316","080-090-58","Кольцо 080-090-58 (силикон) упл.","шт","73","","0","0","0"
"ДН010139","240Н-1115134","Кольцо 090-096-36 (силикон) упл. водяного насоса","шт","43","","0","0","0"
"ДН012843","094-100-36","Кольцо 094-100-36 (силикон) упл. 8.9674","шт","54","","0","0","0"
"ДН012847","096-102-36","Кольцо 096-102-36 (силикон) упл. 8.9595","шт","47","","0","0","0"
"ДН012848","098-102-25","Кольцо 098-102-25 (силикон) упл. 8.9597","шт","43","","0","0","0"
"ДН012960","100-105-30","Кольцо 100-105-30 уплотнительное силикон","шт","35","","0","0","0"
"ДН14904","100-106-36-2-3","Кольцо 100-106-36-2-3 упл. втулки цапфы","шт","5","","0","0","0"
"ДН004322","100-106-36-2-3","Кольцо 100-106-36-2-3 упл. втулки цапфы (силикон)","шт","21","","0.004","0","0"
"ДН011060","650-1111047","Кольцо 102-108-30 упл. корпуса ТНВД (силикон)","шт","51","","0","0","0"
"ДН008223","25.31.2299-108-115-46-2-1","Кольцо 108-115-46-2-1 (силикон) упл. привода гидромуфты","шт","58","","0","0","0"
"ДН008222","25.31.2302-112-120-46-2-1","Кольцо 112-120-46-2-1 (силикон) помпы 7511","шт","60","","0","0","0"
"ДН012849","115-122-46","Кольцо 115-122-46 (силикон) упл. 8.9596","шт","60","","0","0","0"
"ДН008865","25.31.2221-120-126-36-2-1","Кольцо 120-126-36-2-1 (силикон) упл.7511-1013640","шт","47","","0","0","0"
"ДН011058","5340-3509401","Кольцо 122-128-25 (силикон) упл.","шт","44","","0","0","0"
"ДН011716","6303-2918069","Кольцо 122-130-46-2-2 упл. балансира","шт","47","","0.005","0","0"
"ДН010926","650-3509075","Кольцо 125-130-25 компрессора ЯМЗ 650 (фторсил.)","шт","75","","0.004","0","0"
"ДН011059","5340-1002031-01","Кольцо 125-130-36-2 (силикон) упл. гильзы ЯМЗ 530","шт","30","","0","0","0"
"ДН006362","135-145-46-2-3","Кольцо 135-145-46-2-3 (суппорта, большое)","шт","35","","0.007","0","0"
"ДН008224","25.3111.6594","Кольцо 150-155-25-2-5 (силикон) упл. гильзы (тонкое)","шт","35","","0","0","0"
"ДН007397","150-155-36","Кольцо 150-155-36 (силикон) упл.","шт","46","","0","0","0"
"ДН008863","25.31.6314-155-165-46","Кольцо 155-165-46 (силикон) упл.","шт","48","","0","0","0"
"ДН009619","25.3111.63-160-170-58-2-5","Кольцо 160-170-58-2-5 (силикон) упл.гильзы ЯМЗ 840","шт","105","","0","0","0"
"ДН008231","25.31.6319-175-184-46-2-5","Кольцо 175-184-46-2-5 (силикон) упл.теплообменника","шт","65","","0","0","0"
"ДН004319","5336-250-260-58-2-3 /3104140","Кольцо 250-260-58-2-3 бортовой передачи (дисков) 5336-3104140","шт","22","","0.014","0","0"
"ДН012664","5336-250-260-58-2-3 /3104140-С","Кольцо 250-260-58 бортовой передачи силикон","шт","100","","0.025","0","0"
"ДН004320","265-275-58-2-3","Кольцо 265-275-58-2-3 бортовой передачи (без дисков)","шт","19","","0.016","0","0"
"ДН012270","336-1701171","Кольцо блокировочное(на синхрон.239 кпп. молибден)","шт","4200","","0","0","0"
"ДН005211","240-1003217","Кольцо газового стыка","шт","120","","0.084","0","0"
"ДН009772","236-1002040","Кольцо гильзы МАЗ широкое","шт","7","","0","0","0"
"ДН13988","236-1002040","Кольцо гильзы МАЗ широкое","шт","7","","0","0","0"
"ДН004111","5428-1203844","Кольцо глушителя большое омедненое (103х120х42)","шт","309","","0.7","0","0"
"ДН004065","5434-1203844","Кольцо глушителя малое омедненое (80х94х40)","шт","291","","0.4","0","0"
"ДН009748","642290-1203844","Кольцо глушителя н/о (вн. диаметр 110мм)","шт","390","","0","0","0"
"ДН010008","182-1601199-01","Кольцо замковое ЯМЗ","шт","165","","0.016","0","0"
"ДН14417","239-1701290","Кольцо зубчатое","шт","3000","","0","0","0"
"ДН14418","239-1701291","Кольцо зубчатое","шт","3000","","0","0","0"
"ДН006365","202-1708230-41","Кольцо зубчатое (демультипликатора)","шт","450","","0","0","0"
"ДН011297","840-1012083-10","Кольцо масляного фильтра ЯМЗ","шт","9","","0","0","0"
"ДН008864","840-1012083-20","Кольцо масляного фильтра ЯМЗ (силикон) 137х4,5х6,5","шт","110","","0","0","0"
"ДН003473","201-1012083","Кольцо масляного фильтра ЯМЗ 238 (122х128)","шт","3","","0.016","0","0"
"ДН008858","201-1012083","Кольцо масляного фильтра ЯМЗ 238 (силикон)","шт","21","","0.006","0","0"
"ДН010549","6520-3101026","Кольцо обода колеса (замочное) 6520","шт","","","0","0","0"
"ДН010548","8,0-20-3101027","Кольцо обода колеса(бортовое) 8,0-20","шт","","","0","0","0"
"ДН011064","5440-2405042","Кольцо оси сателлита н/о ф31х37х2","шт","44","","0","0","0"
"ДН011963","651-1213025","Кольцо охладителя отработавших газов ЯМЗ 651 ф62х68","шт","635","","0","0","0"
"ДН013510","500А-3103082-02","Кольцо поворотного кулака","шт","795","","0.5","0","0"
"ДН006530","182-1601183","Кольцо предохранительное (тонкое) ЯМЗ 182","шт","48","","0.004","0","0"
"ДН008967","8/5-20-3107060","Кольцо проставочное колесное","шт","930","","5.3","0","0"
"ДН006752","238-1701286","Кольцо проставочное роликов","шт","390","","0.1","0","0"
"ДН013213","239-1701286","Кольцо проставочное роликов; ф95х103х9,5мм","шт","1450","","0","0","0"
"ДН009566","239-1701136","Кольцо пружинное 239 упорное 2,5 мм; ф70х84","шт","330","","0","0","0"
"ДН009567","239-1701136-01","Кольцо пружинное 239 упорное 2,55 мм; ф70х84","шт","250","","0","0","0"
"ДН009568","239-1701136-02","Кольцо пружинное 239 упорное 2,6 мм; ф70х84","шт","290","","0","0","0"
"ДН009569","239-1701136-03","Кольцо пружинное 239 упорное 2,65 мм; ф70х84","шт","280","","0","0","0"
"ДН012862","336-1701483","Кольцо пружинное 336 упорное 2,5 мм (d=79.5)","шт","345","","0","0","0"
"ДН012854","336-1701483-01","Кольцо пружинное 336 упорное 2,55 мм (d=79.5)","шт","266","","0","0","0"
"ДН009562","336-1701479-01","Кольцо пружинное 336 упорное 2,55 мм; ф63х77","шт","230","","0","0","0"
"ДН012855","336-1701483-02","Кольцо пружинное 336 упорное 2,6 мм (d=79.5)","шт","280","","0","0","0"
"ДН009563","336-1701479-02","Кольцо пружинное 336 упорное 2,6 мм; ф63х77","шт","160","","0","0","0"
"ДН012856","336-1701483-03","Кольцо пружинное 336 упорное 2,65 мм (d=79.5)","шт","220","","0","0","0"
"ДН009564","336-1701479-03","Кольцо пружинное 336 упорное 2,65 мм; ф63х77","шт","175","","0","0","0"
"ДН012857","336-1701483-04","Кольцо пружинное 336 упорное 2,7 мм (d=79.5)","шт","230","","0","0","0"
"ДН009565","336-1701479-04","Кольцо пружинное 336 упорное 2,7 мм; ф63х77","шт","180","","0","0","0"
"ДН004594","6303-2918156","Кольцо распорное балансира","шт","315","","0.65","0","0"
"ДН13726","64221-2919026-К","Кольцо распорное шарнира 64221; 91х100х4мм","шт","66","","0.02","0","0"
"ДН011222","101-2919034","Кольцо распорное шарнира н/о (Л-обр. штанги) D=120","шт","120","","0.05","0","0"
"ДН012838","336-1701170","Кольцо синхронизатора КПП 239 Автодизель","шт","3234","","0","0","0"
"ДН004321","400452","Кольцо стопорное шестерни ведущей бортовой передачи (1Б65) (полуоси); ф51х63х2","шт","82","","0.02","0","0"
"ДН012720","14327","Кольцо стопорное КПП кит. (выходного вала демульт); ф96х105х2,2мм","шт","80","","0","0","0"
"ДН009457","202-1701184-01","Кольцо стопорное муфты зубчатой КПП 202 d=111х129х2","шт","500","","0.04","0","0"
"ДН012444","16763","Кольцо стопорное шестерни демультип.  КПП Китай 52х62х2,5","шт","57","","0.014","0","0"
"ДН012126","14750","Кольцо стопорное (первичного, вторичного вала) КПП Китай; ф68х78х2,4мм","шт","62","","0","0","0"
"ДН012618","19198","Кольцо стопорное (промежуточного вала) КПП Китай; ф58х68х2мм","шт","70","","0.012","0","0"
"ДН012912","С-01021","Кольцо стопорное (промежуточных валов)","шт","80","","0","0","0"
"ДН012722","14317","Кольцо стопорное (промежуточных валов); ф36х44х2,4мм","шт","70","","0","0","0"
"ДН006457","Б85-400445","Кольцо стопорное (ступицы блок. диф-ла)","шт","40","","0","0","0"
"ДН006991","236-1701063","Кольцо стопорное вторичного вала; ф50х59х2","шт","20","","0.006","0","0"
"ДН004595","54321-2916032","Кольцо стопорное втулки рычага стабилизатора","шт","300","","0.09","0","0"
"ДН13973","400583-01","Кольцо стопорное втулки стабилизатора переднего","шт","135","","0","0","0"
"ДН009653","182-1601275","Кольцо стопорное кольца упорного(182-120)","шт","270","","0","0","0"
"ДН012721","16723","Кольцо стопорное КПП кит. (вала демультипликатора); ф46х55х2,4мм","шт","57","","0","0","0"
"ДН012718","16628","Кольцо стопорное КПП Китай; ф84х99х3мм","шт","120","","0","0","0"
"ДН009937","54326-2409029","Кольцо стопорное муфты блокировки","шт","66","","0","0","0"
"ДН011931","183-1601197","Кольцо стопорное муфты сцепления","шт","70","","0","0","0"
"ДН007274","182-1601198-10","Кольцо стопорное муфты сцепления толстое (загнутое)","шт","12.5","","0.012","0","0"
"ДН004066","183-1601198-90","Кольцо стопорное муфты сцепления толстое (незагнутое)","шт","13","","0.012","0","0"
"ДН008297","240-1318056-Б","Кольцо стопорное натяжителя водяного насоса (Большое); ф43х50х2мм","шт","16","","0.012","0","0"
"ДН008298","236-1028224","Кольцо стопорное натяжителя водяного насоса (Малое); ф15х19х1мм","шт","4.5","","0","0","0"
"ДН004678","5336-2405037","Кольцо стопорное оси подшип.сател. борт.п. 400575","шт","14","","0.001","0","0"
"ДН006622","236/Б40-1701067-А","Кольцо стопорное подшипника втор, промвала (Б-40); ф36х43х2мм","шт","9.6","","0.01","0","0"
"ДН010202","400420","Кольцо стопорное подшипника насоса ГУР; ф59х66х1,5мм","шт","75","","0.012","0","0"
"ДН011076","6422-2506072","Кольцо стопорное подшипника шестерни МОД; ф107х116х2","шт","365","","0","0","0"
"ДН003889","236-1004022-Б2","Кольцо стопорное поршневого пальца","шт","15","","0.006","0","0"
"ДН011118","650-1004022","Кольцо стопорное поршневого пальца двиг. 650; ф54х2","шт","15","","0","0","0"
"ДН012199","5340-1004022","Кольцо стопорное поршневого пальца двиг. 536,5340","шт","9","","0","0","0"
"ДН007592","7511-1004022","Кольцо стопорное поршневого пальца н/обр з-д","шт","155","","0.008","0","0"
"ДН004717","5336-2405053","Кольцо стопорное ступицы шестерни бортовой передач металлическое","шт","30","","0.05","0","0"
"ДН011225","5440-2405053","Кольцо стопорное ступицы шестерни н/о","шт","30","","0.08","0","0"
"ДН009570","101-2909032","Кольцо стопорное шарнира н/о d=81х91х3","шт","66","","0","0","0"
"ДН009902","101-2919032","Кольцо стопорное шарнира н/о (Л-обр. штанги) 116х126х2","шт","255","","0.072","0","0"
"ДН005869","64221-2919032","Кольцо стопорное шарнира реактивной штанги; ф94х106х3мм","шт","57","","0.04","0","0"
"ДН010448","400457","Кольцо стопорное шарнира стабилизатора кабины; ф58х69х2","шт","132","","0.01","0","0"
"ДН006161","В58-400443","Кольцо стопорное шкворня МАЗ ЕВРО","шт","21","","0.01","0","0"
"ДН13660","В48-400319","Кольцо стопорное шкворня МАЗ Зубр","шт","46","","0","0","0"
"ДН010181","Б30-400356","Кольцо стопорное шкива насоса ГУР; ф27х33х1мм","шт","20","","0.002","0","0"
"ДН006374","Б75-400468","Кольцо стопорное штанги п/п (ШС-50)","шт","39","","0.015","0","0"
"ДН013548","С-01020","Кольцо стопорное (на подшипник первичного вала); 105х114х2мм","шт","48","","0","0","0"
"ДН010009","89501-3104027","Кольцо ступицы полуприцепа ф91х160х3мм","шт","100","","0.3","0","0"
"ДН004793","201-1721334-01","Кольцо торцевое сателлита демультипликатора 29х56х1","шт","60","","0.015","0","0"
"ДН009821","238М-1721382-11","Кольцо торцевое солнечной шестерни ТМЗ; ф68х90х2мм","шт","475","","0.046","0","0"
"ДН008046","5336-2402064-10","Кольцо упл-ное d 60мм (под хвостовик М42) (резина)","шт","25.5","","0.01","0","0"
"ДН009582","6303-2502064","Кольцо упл-ное d 65мм (под хвостовик М42)","шт","25","","0.011","0","0"
"ДН010786","6303-2502064-010","Кольцо упл-ное d 65мм (под хвостовик М48 z=16)","шт","25","","0.008","0","0"
"ДН13663","6303-2502064-050","Кольцо упл-ное d 65мм (под хвостовик М48 z=24 зуб)","шт","25","","0","0","0"
"ДН008884","6430-2502064","Кольцо упл-ное d 70мм (под хвостовик М48)","шт","42","","0.012","0","0"
"ДН012919","650-1002031","Кольцо упл-ное гильзы ЯМЗ 650 (силикон) тонкое","шт","23","","0","0","0"
"ДН012917","650-1002023","Кольцо упл-ное гильзы ЯМЗ 650 023 (силикон)","шт","55","","0","0","0"
"ДН012918","650-1002024","Кольцо упл-ное гильзы ЯМЗ 650 024 (силикон)","шт","50","","0","0","0"
"ДН13654","650-1303100-10","Кольцо упл. водяного насоса ЯМЗ 650","шт","95","","0","0","0"
"ДН005170","650-1303018","Кольцо упл. водяного насоса ЯМЗ 650 (силикон)","шт","24","","0","0","0"
"ДН011536","650-1005041","Кольцо упл. втулки коленвала ЯМЗ 650 (силикон)","шт","25","","0","0","0"
"ДН010924","650-1115436","Кольцо упл. втулки соединительной ТКР (силикон)","шт","40","","0","0","0"
"ДН010657","336-1704019","Кольцо упл. корпуса масляного насоса(восьмёрка)","шт","48","","0.003","0","0"
"ДН011052","650-1014608","Кольцо упл. крышки маслоотделителя большое (силикон ) 090-096-36","шт","49","","0","0","0"
"ДН011051","650-1014606","Кольцо упл. крышки маслоотделителя малое (силикон) 078-082-36","шт","48","","0","0","0"
"ДН006000","5340-1117304","Кольцо упл. крышки ФТОТ ЯМЗ 536 (фторсил.)","шт","75","","0","0","0"
"ДН012988","336-1701534","Кольцо упл. передней крышки КПП-239.","шт","35","","0","0","0"
"ДН003393","236-1111083","Кольцо уплотнительное плунжерной пары","шт","1.2","","0","0","0"
"ДН011482","236-1028246","Кольцо упл. ротора центрифуги","шт","9.5","","0","0","0"
"ДН12819","215067","Кольцо уплотнительное термостата ЯМЗ 650; 57,7х67,5х6,35мм","шт","390","","0.2","0","0"
"ДН14047","8.8973","Кольцо уплотнительное МОД.2651 (под болт М10) (14х10х1,4)","шт","10","","0","0","0"
"ДН003593","651-1008662","Кольцо уплотнительное ЯМЗ 650; 36х40х1,3мм","шт","480","","0","0","0"
"ДН011946","3496 006 000","Кольцо упорное корзины сцепления под КПП ZF,Китай из 3-х","шт","570","","0.39","0","0"
"ДН008047","6303-2918045","Кольцо упорное башмака балансира (с проточкой)","шт","225","","0.45","0","0"
"ДН004586","6303-2918044","Кольцо упорное башмака балансира (внутреннее) без проточки","шт","303","","0.4","0","0"
"ДН006866","238-1721068","Кольцо упорное (большой обоймы синхронизатора делителя)","шт","43","","0","0","0"
"ДН011226","6430-2506068","Кольцо упорное вала заднего (d=65 мм)","шт","475","","0.04","0","0"
"ДН009845","238М-1721252","Кольцо упорное демультипликатора","шт","590","","0","0","0"
"ДН004718","182-1601120/273/275","Кольцо упорное корзины сцепления (+шайба+стопор,из 3-х)","к-т","750","","0.775","0","0"
"ДН002894","236-1601120","Кольцо упорное корзины сцепления","шт","265","","0.45","0","0"
"ДН010551","184-1601120-71","Кольцо упорное корзины сцепления 1840 (из 3-х)","к-т","795","","0.4","0","0"
"ДН013145","184-1601120-71","Кольцо упорное корзины сцепления 1840 Автодизель","шт","1485","","0","0","0"
"ДН14386","236-1601120","Кольцо упорное корзины сцепления Автодизель","шт","435","","0","0","0"
"ДН004639","5336-2403061","Кольцо упорное сателлита дифференциала;  ф33х42х3мм","шт","57","","0.01","0","0"
"ДН010012","6303-2502074","Кольцо упорное фланца среднего моста (D=60 мм)","шт","210","","0.16","0","0"
"ДН012715","С-01033","Кольцо фиксаторное (шестерни демультипл.)","шт","255","","0","0","0"
"ДН13985","336-1701170","Кольцо фиксаторное синхронизатора КПП 239","шт","1200","","0","0","0"
"ДН011049","650-1303248","Кольцо фланца трубы подводящей теплообм. (силикон)","шт","20","","0","0","0"
"ДН005565","202-1721157-40","Кольцо фрикционное демультипликатора","шт","4200","","0.85","0","0"
"ДН003558","236-1003211/ 22 4831 2800","Кольцо фторопластовое под гильзу ( Ф-4 ) МАЗ","шт","16.5","","0.007","0","0"
"ДН14326","54321/5440-3104085","Кольцо цапфы (фторопластовое) завод","шт","120","","0","0","0"
"ДН006076","54321/5440-3104085","Кольцо цапфы (фторопластовое) КМД","шт","21","","0.004","0","0"
"ДН005086","238А-1701207","Кольцо центрирующее 238А","шт","400","","0","0","0"
"ДН005087","238М-1701207","Кольцо центрирующее 238М","шт","420","","0.7","0","0"
"ДН003408","100-3519189","Кольцо Энерг.тип.20 КАМАЗ, МАЗ (гильза)","шт","4","","0","0","0"
"ДН003433","503-4202010-Б","КОМ 503","шт","6800","","9.95","0","0"
"ДН009543","64228-4202010","КОМ 64228 на КПП239","шт","13386","","3.9","0","0"
"ДН13612","QH50-G2571","КОМ в сборе на 12JS под НШ","шт","15800","","15","0","0"
"ДН009586","QH50-G2194","КОМ в сборе на 12JS под фланец","шт","9800","","18","0","0"
"ДН13613","QH50-G1801","КОМ в сборе на 9JS под НШ","шт","10200","","15","0","0"
"ДН003702","QH50-G1801","КОМ в сборе на 9JS под фланец","шт","9500","","0","0","0"
"ДН007269","255Б-4202010","КОМ КРАЗ","шт","3200","","0","0","0"
"ДН007050","6505-4202010","КОМ КРАЗ н/о","шт","5500","","13.25","0","0"
"ДН003673","КС3577.141.00","КОМ КС3577.141.00","шт","17500","","19.5","0","0"
"ДН007051","5557-4202010-01","КОМ УРАЛ","шт","5600","","0","0","0"
"ДН008705","283-3801","Комбинация приборов Евро (Релком) универсальная","шт","2820","","0.6","0","0"
"ДН14690","28-3801","Комбинация приборов Евро м(Спецмаш)","шт","1130","","0","0","0"
"ДН009895","КД 8056","Комбинация приборов н/о (2 указателя)","шт","2120","","0","0","0"
"ДН012260","ИЖКС.454823.012","Комплект запорных устр. с замком зажиг.(5440,6430)","шт","5800","","0","0","0"
"ДН12515","ИЖКС 454823.001","Комплект запорных устройств (ЕВРО) с замком зажиг.","шт","3000","","0","0","0"
"ДН12516","","Комплект запорных устройств (ЕВРО)без замка зажиг.","шт","2800","","0","0","0"
"ДН006862","54323-","Комплект тормозных трубок МАЗ 54323 (полиамид)","к-т","3800","","3.45","0","0"
"ДН007518","5551-","Комплект тормозных трубок МАЗ 5551","шт","4450","","0","0","0"
"ДН007043","64229-","Комплект тормозных трубок МАЗ 64229","шт","4740","","4.8","0","0"
"ДН002991","5336-3509012","Компрессор 2-х цил. МАЗ, ЗиЛ  Москва без шкива","шт","3300","","14","0","0"
"ДН12789","5340-3509015-10","Компрессор воздушный (LK3881)(LP3894)(1 цил.)","шт","15700","","0","0","0"
"ДН14400","161-3509012-20","Компрессор двухцилиндровый (МАЗ,КРАЗ,УРАЛ,БЕЛАЗ,МЗКТ) 270л (AURIDA) со шкивом","шт","15400","","0","0","0"
"ДН14402","5222-100","Компрессор двухцилиндровый (МАЗ-5440,6430,6516-А9/ЯМЗ 650/ МЗКТ,Рено,УРАЛ,КРАЗ) (AURIDA) без шкива","шт","39000","","0","0","0"
"ДН14401","16-3509012","Компрессор двухцилиндровый МАЗ,КРАЗ,УРАЛ,БЕЛАЗ /200л  (AURIDA) со шкивом","шт","15000","","0","0","0"
"ДН001838","5336-3509012","Компрессор МАЗ без шкива с/сбор","шт","5160","","14","0","0"
"ДН009978","5336-3509012-10-03","Компрессор МАЗ н/о без шкива (Борисов) (360 л)","шт","18400","","15","0","0"
"ДН12530","5336-3509012-10-03","Компрессор МАЗ н/о со шкивом (Белор) (360 л) с/сбор","шт","11000","","0","0","0"
"ДН003259","5336-3509012-10","Компрессор МАЗ н/о со шкивом (Белор) 7511 (270л)","шт","7700","","14","0","0"
"ДН009010","5336-3509012-10","Компрессор МАЗ н/о со шкивом (Борисов) 7511 (270 л)","шт","15600","","15","0","0"
"ДН13778","5336-3509012-10","Компрессор МАЗ н/о со шкивом СПЕЦМАШ 7511 270 л","шт","7194","","0","0","0"
"ДН003548","5336-3509015","Компрессор МАЗ со шкивом (Белоруссия)  200л","шт","6660","","15","0","0"
"ДН003691","5336-3509012","Компрессор МАЗ со шкивом (Борисов) з-д (200 л)","шт","11640","","15","0","0"
"ДН003699","5336-3509012","Компрессор МАЗ со шкивом с/сбор","шт","5640","","15","0","0"
"ДН13777","5336-3509012","Компрессор МАЗ со шкивом СПЕЦМАШ  200л","шт","7077","","0","0","0"
"ДН009009","ПК 310","Компрессор ПК 310 н/об со шкивом (Борисов)(320 л)","шт","27000","","16","0","0"
"ДН012815","ПК 310","Компрессор ПК 310 н/об со шкивом (Белоруссия)(320 л) самосбор","шт","15360","","20","0","0"
"ДН13745","ПК 225-01","Компрессор ЯМЗ 534, 536 (Борисов) (1 цил.)","шт","21500","","12","0","0"
"ДН010105","650-3509009","Компрессор ЯМЗ 650,651 LP4851","шт","26500","","16.84","0","0"
"ДН12559","6430-3748010","Контейнер АКБ н/о","шт","6550","","0","0","0"
"ДН14014","MF362","Корзина сцепления  4370 (ЗУБРЕНОК);ан. MF362","шт","15300","","0","0","0"
"ДН009774","3482 125 512","Корзина сцепления 4370 (ЗУБРЕНОК, ПААЗ)","шт","6960","","18.9","0","0"
"ДН004802","182-1601090","Корзина сцепления (лепестковая)  236 НЕ 238 Завод","шт","10365","","28","0","0"
"ДН007441","182-1601090","Корзина сцепления (лепестковая)  236 НЕ 238 с/сбор","шт","9300","","28","0","0"
"ДН12728","183-1601090","Корзина сцепления (лепестковая) (Автодизель)","шт","18600","","0","0","0"
"ДН13607","182-1601090","Корзина сцепления (лепестковая) (Автодизель)","шт","16850","","0","0","0"
"ДН12767","183-1601090","Корзина сцепления (лепестковая) 183","шт","11400","","28","0","0"
"ДН005606","184-1601090","Корзина сцепления (лепестковая) 238 БЕ,7511 Завод","шт","10470","","28.8","0","0"
"ДН003436","184-1601090","Корзина сцепления (лепестковая) 238 БЕ,7511 с/сбор","шт","11400","","28.8","0","0"
"ДН11575","184-1601090","Корзина сцепления 238 БЕ,7511 (Автодизель)","шт","19200","","0","0","0"
"ДН14016","3482 000 412","Корзина сцепления КПП 2361 дв 6563 MFZ430 (SACHS)","шт","13350","","0","0","0"
"ДН006107","245-1601090","Корзина сцепления МАЗ 4370","шт","5200","","0","0","0"
"ДН013089","100 032","Корзина сцепления на КПП  ZF, Китай (Hammer)","шт","15000","","34.4","0","0"
"ДН002908","100 032-3482 083 219/032","Корзина сцепления на КПП  ZF, Китай (MALANG)","шт","12000","","34.4","0","0"
"ДН13662","3482 083 032","Корзина сцепления на КПП  ZF, КПП  (SACHS)","шт","14700","","0","0","0"
"ДН012736","3482 083 219/032","Корзина сцепления на КПП  ZF, КПП  (SACHS) с/сб","шт","9990","","34.4","0","0"
"ДН004183","238-1601090","Корзина сцепления ЯМЗ 238 з-д","шт","9720","","35.5","0","0"
"ДН005479","238-1601090","Корзина сцепления ЯМЗ 238 нов.обр с/сбор","шт","8050","","35.5","0","0"
"ДН003284","238-1601090","Корзина сцепления ЯМЗ 238 стар.обр с/сбор","шт","7200","","35.5","0","0"
"ДН003423","236-1306052","Коробка термостата (алюминий","шт","390","","0.4","0","0"
"ДН006787","236-1306052-Б","Коробка термостата (гроднамид)","шт","190","","0.15","0","0"
"ДН008240","658-1306052-20","Коробка термостата ЯМЗ 658 (гроднамид) 3 отв.","шт","600","","0","0","0"
"ДН004082","236-1007144-В","Коромысло клапана (ЯМЗ)","шт","417","","0.3","0","0"
"ДН010823","7511-1007144","Коромысло клапана 7511 (ЯМЗ)","шт","588","","0","0","0"
"ДН007270","5440-2405030-011","Корпус водила ЕВРОМАЗ","шт","5850","","19.6","0","0"
"ДН007605","54326-2405030","Корпус водила СУПМАЗ","шт","6400","","17.78","0","0"
"ДН011256","6430-8406019-010","Корпус замка левый н/о","шт","210","","0.06","0","0"
"ДН011255","6430-8406018-010","Корпус замка правый н/о","шт","210","","0.06","0","0"
"ДН007911","5336-2707214","Корпус крюка буксирного (стакан)","шт","8580","","0","0","0"
"ДН14600","236-1701476-Б","Корпус манжеты в сборе с сальником Автодизель","шт","760","","0","0","0"
"ДН004862","64221-3502021","Корпус манжеты стакана разжимного кулака","шт","93","","0","0","0"
"ДН010119","239-1701478","Корпус манжеты ЯМЗ 239","шт","990","","0","0","0"
"ДН004040","5336-1702208-10","Корпус механизма переключения передач","шт","550","","0","0","0"
"ДН007452","64221-8101064-10","Корпус отопителя (верхний)","шт","175","","0","0","0"
"ДН010328","64221-8101102","Корпус отопителя (нижний)","шт","550","","0","0","0"
"ДН005246","236-1308102","Корпус привода вентилятора","шт","345","","0","0","0"
"ДН011412","650/651-1307013","Корпус с подшипником и крыльчаткой водяного насоса ЯМЗ 650/651","шт","7500","","2.12","0","0"
"ДН007272","","Корпус с фиксатором на МПП","шт","40","","0","0","0"
"ДН13765","5434-2304035","Корпус сальника","шт","870","","0","0","0"
"ДН007497","201-1117016-Б2","Корпус топл. фильтра (стакан) (ЯМЗ)","шт","714","","0","0","0"
"ДН009024","658-1117016","Корпус топл. фильтра (стакан) 658","шт","1120","","0","0","0"
"ДН010566","6430-8118222/23/24/25","Корпус улитки блока вентиляторного в сб. полный ( из 4-х)","шт","415","","0","0","0"
"ДН013592","6430-8118223/25","Корпус улитки блока вентиляторного в сб. левый","шт","195","","0","0","0"
"ДН010567","6430-8118222/24","Корпус улитки блока вентиляторного в сб. правый","шт","195","","0","0","0"
"ДН012828","PL420","Корпус ФГОТ без подогрева MANN PL420 (подкачка)","шт","930","","0","0","0"
"ДН13875","202436","Корпус ФГОТ с подогревом MB/Actros/OM","шт","5500","","0","0","0"
"ДН004596","6422-1105014","Корпус фильтра грубой очистки топлива (аналог5551)","шт","2050","","1.15","0","0"
"ДН010250","236-1028020-Б","Корпус ФЦОМ","шт","450","","0","0","0"
"ДН012289","437040-1700010","КПП ""Зубрёнок"" скоростная, под эл-ый привод спид.","шт","52500","","0","0","0"
"ДН010182","12JS200TA (G 2193)","КПП в сборе 12JS200TA синхронизированная Китай Fast Gear","шт","302400","","380","0","0"
"ДН13668","16JS200TA (G 2685)","КПП в сборе 16JS200TA (G 2685) (Китай)","шт","303000","","0","0","0"
"ДН009669","543205-1700004","КПП в сборе 202 з-д (Белоруссия)","шт","290000","","0","0","0"
"ДН003685","236-1700004","КПП в сборе 236П з-д","шт","55000","","0","0","0"
"ДН004805","236У-1700004","КПП в сборе 236У УРАЛ","шт","30500","","0","0","0"
"ДН003989","238А-1700004","КПП в сборе 238А с делителем","шт","126000","","0","0","0"
"ДН13866","9JS135A G7611","КПП в сборе 9JS135А несинхронизированная (Китай) Fast Gear под двиг.ЯМЗ 536","шт","210000","","0","0","0"
"ДН008204","9JS135ТA","КПП в сборе 9JS135ТА синхронизированная (Китай) Fast Gear","шт","250000","","360","0","0"
